68age,68 2s,75age,75 2s,76age,76 2s,Ref,conc
332,6,331,6,326,25,Laurent et al 2016 - Velay,102
329,5,329,5,331,18,Laurent et al 2016 - Velay,99
334,4,334,8,327,55,Laurent et al 2016 - Velay,102
334,5,338,8,363,56,Laurent et al 2016 - Velay,92
334,5,330,14,303,106,Laurent et al 2016 - Velay,110
302,4,302,6,303,37,Laurent et al 2016 - Velay,100
331,7,330,19,322,142,Laurent et al 2016 - Velay,103
303,5,303,6,305,41,Laurent et al 2016 - Velay,99
623,17,624,25,627,94,Laurent et al 2016 - Velay,99
310,5,313,6,339,34,Laurent et al 2016 - Velay,91
314,4,317,6,335,42,Laurent et al 2016 - Velay,94
407,6,407,15,410,91,Laurent et al 2016 - Velay,99
306,5,312,9,359,61,Laurent et al 2016 - Velay,85
307,5,310,5,338,23,Laurent et al 2016 - Velay,91
328,5,330,11,339,83,Laurent et al 2016 - Velay,97
536,8,538,13,546,56,Laurent et al 2016 - Velay,98
315,5,317,6,328,27,Laurent et al 2016 - Velay,96
291,5,295,6,325,38,Laurent et al 2016 - Velay,90
301,6,305,11,339,83,Laurent et al 2016 - Velay,89
1072,23,1600,20,2387,7,Laurent et al 2016 - Velay,45
275,4,282,9,339,73,Laurent et al 2016 - Velay,81
454,6,452,6,446,22,Laurent et al 2016 - Velay,102
2591,17,2604,9,2615,10,Laurent et al 2016 - Velay,99
319,2,314,7,277,58,Laurent et al 2016 - Velay,115
282,3,283,8,292,67,Laurent et al 2016 - Velay,96
309,3,313,3,337,20,Laurent et al 2016 - Velay,92
327,3,327,4,327,26,Laurent et al 2016 - Velay,100
309,3,310,4,322,29,Laurent et al 2016 - Velay,96
285,4,295,12,376,102,Laurent et al 2016 - Velay,76
294,2,297,9,316,80,Laurent et al 2016 - Velay,93
299,2,338,5,617,35,Laurent et al 2016 - Velay,49
206,3,217,4,341,40,Laurent et al 2016 - Velay,60
315,2,316,8,324,61,Laurent et al 2016 - Velay,97
397,4,406,7,456,38,Laurent et al 2016 - Velay,87
327,3,325,4,313,19,Laurent et al 2016 - Velay,105
324,2,325,12,334,96,Laurent et al 2016 - Velay,97
296,4,331,7,579,45,Laurent et al 2016 - Velay,51
280,3,285,7,329,57,Laurent et al 2016 - Velay,85
237,2,245,4,326,40,Laurent et al 2016 - Velay,73
320,2,322,3,333,23,Laurent et al 2016 - Velay,96
270,3,292,16,473,134,Laurent et al 2016 - Velay,57
590,5,603,16,650,71,Laurent et al 2016 - Velay,91
288,2,292,3,324,23,Laurent et al 2016 - Velay,89
306,3,308,3,321,15,Laurent et al 2016 - Velay,95
311,3,343,5,568,31,Laurent et al 2016 - Velay,55
325,3,326,5,331,38,Laurent et al 2016 - Velay,98
299,3,301,11,319,97,Laurent et al 2016 - Velay,94
861,8,861,11,862,34,Laurent et al 2016 - Velay,100
273,3,276,14,303,129,Laurent et al 2016 - Velay,90
326,3,326,5,327,38,Laurent et al 2016 - Velay,100
270,4,275,5,318,31,Laurent et al 2016 - Velay,85
296,5,297,7,303,52,Laurent et al 2016 - Velay,98
315,5,318,11,339,84,Laurent et al 2016 - Velay,93
117,7,125,17,291,287,Laurent et al 2016 - Velay,40
263,4,268,9,316,74,Laurent et al 2016 - Velay,83
129,6,138,17,297,273,Laurent et al 2016 - Velay,44
242,4,250,11,324,111,Laurent et al 2016 - Velay,75
264,8,268,22,299,203,Laurent et al 2016 - Velay,88
314,8,314,10,316,58,Laurent et al 2016 - Velay,99
239,4,251,9,363,85,Laurent et al 2016 - Velay,66
229,5,235,17,303,172,Laurent et al 2016 - Velay,75
291,5,297,7,343,48,Laurent et al 2016 - Velay,85
309,6,310,6,317,25,Laurent et al 2016 - Velay,98
282,5,288,12,333,98,Laurent et al 2016 - Velay,85
279,5,279,16,276,145,Laurent et al 2016 - Velay,101
281,5,286,12,335,103,Laurent et al 2016 - Velay,84
282,5,294,14,395,119,Laurent et al 2016 - Velay,71
274,5,274,9,275,74,Laurent et al 2016 - Velay,100
312,5,307,17,272,142,Laurent et al 2016 - Velay,115
283,4,290,6,350,43,Laurent et al 2016 - Velay,81
314,6,315,12,322,92,Laurent et al 2016 - Velay,98
285,5,287,15,299,131,Laurent et al 2016 - Velay,96
