Locality,Unit,Sample,Type,Composition,Zircon,CA Temp,CA Duration (hrs),Notes,age68,2s_68,638 Rel. Unc (permille),76 Age (Ma),76 Age_unc (Ma),76 Rel. Unc (permille),Age_synth (Ma),Unc_synth (permille),U (ppm),Th/U,Pb* (pg),Pbc (pg),Pb*/Pbc,U (ng),U (pg),Lab,Year ,Reference,DOI,StudyID,1000,,
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z17,180,Dec.15,,7.087,0.012,1.69,,,,7.087,1.693241146,628.9,0.6,6.21,0.87,7.17,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z20,180,Dec.15,,7.09,0.016,2.26,,,,7.09,2.256699577,378.1,0.58,2.62,0.98,2.66,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1,,Lab abbreviations:,
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z12,180,Dec.15,,7.095,0.021,2.96,,,,7.095,2.959830867,140.4,0.48,1.39,0.85,1.63,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1,,ETHZ,ETH Zurich (CH)
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z10,180,Dec.15,,7.108,0.02,2.81,,,,7.108,2.813731007,405.7,0.53,4.88,2.46,1.98,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1,,UG,University of Geneva (CH)
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z13,180,Dec.15,,7.109,0.021,2.95,,,,7.109,2.954001969,326.2,0.48,4.09,2.42,1.69,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1,,BGS,British geological survey (UK)
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z19,180,Dec.15,,7.109,0.015,2.11,,,,7.109,2.110001407,549.6,0.72,4.03,0.88,4.59,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1,,BSU,Boise State University (US)
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z16,180,Dec.15,,7.11,0.016,2.25,,,,7.11,2.250351617,485.8,0.52,4.09,1.01,4.05,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1,,PU,Princeton University (US)
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z01,180,Dec.15,,7.12,0.019,2.67,,,,7.12,2.668539326,301.2,0.52,3.06,1.39,2.2,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1,,MIT,Massachusetts Institute of Technology (US)
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z03,180,Dec.15,,7.131,0.016,2.24,,,,7.131,2.243724583,331.4,0.56,4.6,1.59,2.9,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1,,ROM,Royal Ontario Museum (CA)
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z05,180,Dec.15,,7.139,0.019,2.66,,,,7.139,2.661437176,315.7,0.54,3.09,1.28,2.42,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1,,UBC,The University of British Columbia (CA)
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z04,180,Dec.15,,7.141,0.024,3.36,,,,7.141,3.360873827,266,0.57,1.95,1.24,1.58,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1,,BGC,Berkeley Geochronology Center (US)
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z14,180,Dec.15,,7.145,0.017,2.38,,,,7.145,2.379286214,373.9,0.55,4.63,1.45,3.19,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1,,UQAM,University of Quebec (CA)
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z11,180,Dec.15,,7.156,0.026,3.63,,,,7.156,3.633314701,355.1,0.54,3.08,2.38,1.29,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1,,UCD,"University of California, Davis (US)"
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z02,180,Dec.15,,7.169,0.028,3.91,,,,7.169,3.905705119,264.7,0.65,1.36,1.08,1.26,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1,,UO,University of Ontario (CA)
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z09,180,Dec.15,,7.181,0.014,1.95,,,,7.181,1.949589194,626,0.53,5.71,1.2,4.75,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1,,UA,University of Alberta (CA)
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z21,180,Dec.15,,7.199,0.032,4.45,,,,7.199,4.445061814,278.3,0.47,1.04,0.98,1.07,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1,,UT,University of Toronto (CA)
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z18,180,Dec.15,,7.208,0.017,2.36,,,,7.208,2.358490566,420.8,0.62,4.5,1.53,2.93,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1,,MUN,Memorial University of Newfoundland (CA)
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z08,180,Dec.15,,7.228,0.023,3.18,,,,7.228,3.182069729,235.9,0.55,1.24,0.82,1.51,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1,,,
Bajo de la Alumbrera,Post-mineralization porphyry P4,P4,Porphyry,Andesite,YB39-z06,180,Dec.15,,7.296,0.016,2.19,,,,7.296,2.192982456,280.3,0.51,2.62,0.9,2.91,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Post-mineralization porphyry LP3,LP3,Porphyry,Andesite,YB37-z20,180,Dec.15,,7.067,0.021,2.97,,,,7.067,2.971557945,306.6,0.67,1.81,0.94,1.92,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Post-mineralization porphyry LP3,LP3,Porphyry,Andesite,YB37-z21,180,Dec.15,,7.092,0.024,3.38,,,,7.092,3.384094755,255.3,0.67,1.36,0.92,1.47,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Post-mineralization porphyry LP3,LP3,Porphyry,Andesite,YB37-z18,180,Dec.15,,7.093,0.022,3.1,,,,7.093,3.101649514,297,0.51,1.35,0.78,1.74,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Post-mineralization porphyry LP3,LP3,Porphyry,Andesite,YB37-z02,180,Dec.15,,7.098,0.026,3.66,,,,7.098,3.663003663,254.2,0.53,2.03,1.48,1.38,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Post-mineralization porphyry LP3,LP3,Porphyry,Andesite,YB37-z04,180,Dec.15,,7.1,0.026,3.66,,,,7.1,3.661971831,300.3,0.55,2.1,1.45,1.45,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Post-mineralization porphyry LP3,LP3,Porphyry,Andesite,YB37-z07,180,Dec.15,,7.106,0.025,3.52,,,,7.106,3.518153673,261.3,0.54,1.41,1.02,1.39,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Post-mineralization porphyry LP3,LP3,Porphyry,Andesite,YB37-z03,180,Dec.15,,7.11,0.03,4.22,,,,7.11,4.219409283,209.7,0.54,1.18,0.95,1.24,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Post-mineralization porphyry LP3,LP3,Porphyry,Andesite,YB37-z19,180,Dec.15,,7.115,0.022,3.09,,,,7.115,3.09205903,308.5,0.61,2.35,1.06,2.21,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Post-mineralization porphyry LP3,LP3,Porphyry,Andesite,YB37-z10,180,Dec.15,,7.125,0.02,2.81,,,,7.125,2.807017544,412.6,0.72,4.08,2.25,1.81,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Post-mineralization porphyry LP3,LP3,Porphyry,Andesite,YB37-z13,180,Dec.15,,7.14,0.023,3.22,,,,7.14,3.221288515,328.8,0.57,3.44,2.31,1.49,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Post-mineralization porphyry LP3,LP3,Porphyry,Andesite,YB37-z09,180,Dec.15,,7.14,0.028,3.92,,,,7.14,3.921568627,300.5,0.54,1.29,1.02,1.26,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Post-mineralization porphyry LP3,LP3,Porphyry,Andesite,YB37-z12,180,Dec.15,,7.142,0.025,3.5,,,,7.142,3.50042005,288.1,0.55,3.43,2.52,1.36,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Post-mineralization porphyry LP3,LP3,Porphyry,Andesite,YB37-z17,180,Dec.15,,7.154,0.017,2.38,,,,7.154,2.376292983,259,0.47,4.49,1.79,2.51,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Post-mineralization porphyry LP3,LP3,Porphyry,Andesite,YB37-z14,180,Dec.15,,7.176,0.029,4.04,,,,7.176,4.041248606,340.9,0.53,2.17,1.81,1.2,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Post-mineralization porphyry LP3,LP3,Porphyry,Andesite,YB37-z16,180,Dec.15,,7.289,0.042,5.76,,,,7.289,5.762107285,200.8,0.51,1.64,2.11,0.78,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Post-mineralization porphyry LP3,LP3,Porphyry,Andesite,YB37-z06,180,Dec.15,,7.337,0.042,5.72,,,,7.337,5.724410522,234.8,0.61,0.65,0.82,0.8,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-synmineralizationporphyry,EP3,Porphyry,Dacite,YB38-z11,180,Dec.15,,7.073,0.048,6.79,,,,7.073,6.786370705,270.8,0.66,1.12,1.04,1.07,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-synmineralizationporphyry,EP3,Porphyry,Dacite,YB38-z13,180,Dec.15,,7.083,0.041,5.79,,,,7.083,5.788507694,241.9,0.69,0.86,1.03,0.84,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-synmineralizationporphyry,EP3,Porphyry,Dacite,YB38-z27,180,Dec.15,,7.092,0.018,2.54,,,,7.092,2.538071066,286,0.71,2.22,1.03,2.15,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-synmineralizationporphyry,EP3,Porphyry,Dacite,YB38-z24,180,Dec.15,,7.095,0.017,2.4,,,,7.095,2.396053559,355.1,0.57,2.87,1.07,2.69,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-synmineralizationporphyry,EP3,Porphyry,Dacite,YB38-z09,180,Dec.15,,7.098,0.02,2.82,,,,7.098,2.817695125,457.7,0.8,1.8,0.9,2,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-synmineralizationporphyry,EP3,Porphyry,Dacite,YB38-z25,180,Dec.15,,7.099,0.021,2.96,,,,7.099,2.958163122,299.9,0.89,2.25,1.12,2.01,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-synmineralizationporphyry,EP3,Porphyry,Dacite,YB38-z18,180,Dec.15,,7.118,0.016,2.25,,,,7.118,2.247822422,337.1,0.58,2.66,0.93,2.85,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-synmineralizationporphyry,EP3,Porphyry,Dacite,YB38-z15,180,Dec.15,,7.127,0.026,3.65,,,,7.127,3.648098779,268,0.67,1.28,0.87,1.47,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-synmineralizationporphyry,EP3,Porphyry,Dacite,YB38-z20,180,Dec.15,,7.138,0.016,2.24,,,,7.138,2.241524236,305.2,0.53,2.74,0.99,2.77,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-synmineralizationporphyry,EP3,Porphyry,Dacite,YB38-z01,180,Dec.15,,7.164,0.025,3.49,,,,7.164,3.489670575,275.8,0.68,2.22,1.46,1.52,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-synmineralizationporphyry,EP3,Porphyry,Dacite,YB38-z14,180,Dec.15,,7.168,0.032,4.46,,,,7.168,4.464285714,349.1,0.72,1.27,1.11,1.14,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-synmineralizationporphyry,EP3,Porphyry,Dacite,YB38-z22,180,Dec.15,,7.176,0.015,2.09,,,,7.176,2.090301003,264.3,0.57,4.26,0.84,5.06,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-synmineralizationporphyry,EP3,Porphyry,Dacite,YB38-z08,180,Dec.15,,7.181,0.023,3.2,,,,7.181,3.202896533,312.5,0.66,2.06,1.16,1.78,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-synmineralizationporphyry,EP3,Porphyry,Dacite,YB38-z07,180,Dec.15,,7.182,0.015,2.09,,,,7.182,2.08855472,714,1.17,4.84,1.25,3.86,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
